timestamp,elapsed,locust_users,locust_requests_per_second,locust_response_time_avg,locust_failure_rate,cpu_usage_task1,cpu_usage_task2,task1_replicas,task2_replicas,throughput_task1-deployment,locust_response_time_p95,locust_response_time_p99,locust_total_requests,response_time_task1-svc,response_time_task2-svc,throughput_task2-deployment
1763315879.042911,1.1920928955078125e-06,10.0,6.0,146.75589573259154,0.0,0.45535521700393905,0.5164771202912392,1,1,0.0,920.0,1100.0,30.0,0.17291796875,0.3070923042852106,4.944904444444444
1763315884.219796,5.176886081695557,10.0,6.857142857142857,195.67318377769826,0.0,0.3638008666666666,0.5867423480762933,1,1,2.2666666666666666,890.0,1100.0,68.0,0.17291796875,0.30154599959363065,5.600989444444444
1763315889.424675,10.381765127182007,10.0,7.5,303.405968277341,0.0,0.4513839750000001,0.5883625488036734,1,1,2.2666666666666666,1100.0,1800.0,117.0,0.17291796875,0.30343309968499227,6.192318333333334
1763315894.096286,15.053376197814941,10.0,8.5,282.78703396484303,0.0,0.4513839750000001,0.6711734182187755,1,1,2.2666666666666666,1100.0,1800.0,152.0,0.17291796875,0.30478413203530447,6.850947777777778
1763315899.2790248,20.236114978790283,10.0,8.0,275.2506618040599,0.0,0.6866256602377426,0.7634137671015293,1,1,2.2666666666666666,1000.0,1800.0,189.0,0.17291796875,0.30601195385725355,7.5061422222222225
1763315904.445045,25.402135133743286,10.0,7.2,269.3466946067339,0.0,0.6754629417338486,0.7832827297409231,1,1,2.2666666666666666,1000.0,1600.0,222.0,0.17291796875,0.3070175733286758,7.633333333333333
1763315909.082308,30.039398193359375,10.0,6.7,275.8903620380582,0.0,0.7938065737361185,0.6676658472604421,1,1,2.2666666666666666,1000.0,1600.0,251.0,0.28507944457556833,0.4123084197476901,8.333333333333334
1763315914.2462661,35.20335626602173,10.0,6.7,261.83895122051166,0.0,0.7772973470605017,0.47708087499999996,1,1,7.7,970.0,1600.0,299.0,0.2857217454783163,0.5192144353233333,8.333333333333334
1763315919.404882,40.36197209358215,10.0,8.1,260.05146203034775,0.0,0.6699374693163646,0.8362906452194984,1,1,7.7,970.0,1500.0,337.0,0.28624819959324144,0.5751044124133332,8.333333333333334
1763315924.051828,45.008918046951294,10.0,8.3,248.55160733599118,0.0,0.6028955731323964,0.6833261171201419,1,1,7.7,960.0,1500.0,380.0,0.2867839859823151,0.6279600981399999,8.333333333333334
1763315929.2192361,50.176326274871826,10.0,8.7,247.43801556695166,0.0,0.7931910433440407,0.8610204146187163,1,1,7.7,890.0,1400.0,428.0,0.28727090938462246,0.6476242999999999,8.333333333333334
1763315934.3782551,55.33534526824951,10.0,8.7,252.94553802839698,0.0,0.7931910433440407,0.8610204146187164,1,1,7.7,960.0,1400.0,459.0,0.2942960352422896,0.6476242999999999,8.333333333333334
1763315939.546016,60.503106117248535,10.0,7.9,259.04680275784426,0.0,0.79098674901415,0.703822004143078,1,1,7.7,960.0,1500.0,507.0,0.2515044265593577,0.5106181029982537,7.6
1763315944.190271,65.14736104011536,10.0,8.1,262.55130715669907,0.0,0.6400532941897666,0.6391799038855079,1,1,8.133333333333333,970.0,1500.0,546.0,0.2515044265593577,0.36938889311210243,7.6
1763315949.367913,70.32500314712524,10.0,7.9,256.3287038123636,0.0,0.8129391097216021,0.8115978064516128,1,1,8.133333333333333,940.0,1500.0,581.0,0.2515044265593577,0.36938889311210243,7.6
1763315954.535396,75.49248623847961,10.0,7.6,253.0902931984514,0.0,0.6829493497732888,0.7422837570406453,1,1,8.133333333333333,930.0,1500.0,625.0,0.2515044265593577,0.36938889311210243,7.6
1763315959.190426,80.14751625061035,10.0,8.2,257.5589797297543,0.0,0.8138809588853979,0.7109997291497386,1,1,8.133333333333333,920.0,1500.0,664.0,0.2515044265593577,0.36938889311210243,7.6
1763315964.334997,85.29208707809448,10.0,8.1,264.69399706506033,0.0,0.8138809588853979,0.7109997291497386,1,1,8.133333333333333,940.0,1500.0,696.0,0.2515044265593577,0.36938889311210243,7.6
1763315969.50642,90.4635100364685,10.0,7.5,268.0762779440821,0.0,0.6986964324966051,0.6942970261447695,1,1,8.133333333333333,970.0,1500.0,741.0,0.27459313468770613,0.29751554163549515,7.866666666666666
1763315974.1726038,95.12969398498535,10.0,7.1,267.34019456941996,0.0,0.8118005431743749,0.5704778302446767,1,1,7.666922230741024,970.0,1500.0,775.0,0.2745931346877062,0.29498214278655244,7.866666666666666
1763315979.3319838,100.2890739440918,10.0,6.9,262.40941274962904,0.0,0.8046452127213226,0.7557716000428679,1,1,7.666922230741026,960.0,1400.0,810.0,0.27459313468770613,0.2949821427865524,7.866666666666666
1763315984.493741,105.45083117485046,10.0,6.9,258.61834508890547,0.0,0.7801404502376412,0.6525745068881385,1,1,7.666922230741026,940.0,1400.0,843.0,0.27459313468770613,0.29498214278655244,7.866666666666666
