Metric,Mean,Std Dev,Min,Max,Unit
Users,1.0000,0.0000,1.0000,1.0000,users
Client RPS,0.9398,0.2850,0.5000,2.0000,req/s
Client Response Time,94.0443,9.7750,41.5001,107.1696,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
Tier1 Throughput,0.8656,0.2505,0.0000,1.1666,req/s
Tier1 Response Time,0.0895,0.0198,0.0390,0.1245,ms
Tier1 CPU Utilization,0.0795,0.0222,0.0268,0.1182,cores
Tier1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Tier2 Throughput,0.9313,0.0795,0.8000,1.0667,req/s
Tier2 Response Time,0.1032,0.0203,0.0685,0.1352,ms
Tier2 CPU Utilization,0.0820,0.0246,0.0343,0.1320,cores
Tier2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
