timestamp,elapsed,locust_users,locust_requests_per_second,locust_response_time_avg,locust_failure_rate,cpu_usage_task1,cpu_usage_task2,task1_replicas,task2_replicas,locust_response_time_p95,locust_response_time_p99,locust_total_requests
1763399494.6163719,9.5367431640625e-07,1.0,1.0,62.96458300057566,1.0,0.0003005494318895041,0.00037646779616608836,1,1,100.0,100.0,5.0
1763399499.763766,5.147395133972168,1.0,1.2,55.765430417219854,1.0,0.00034875119899559123,0.00043892732283389875,1,1,100.0,100.0,12.0
1763399504.898837,10.282466173171997,1.0,1.4,54.27426150062173,1.0,0.0005768928318913361,0.0005015451290039864,1,1,100.0,100.0,18.0
1763399510.043852,15.427481174468994,1.0,1.3,53.79261177321578,1.0,0.000641346012419757,0.00042596666666666985,1,1,100.0,100.0,22.0
1763399514.698163,20.08179211616516,1.0,0.8,50.60603530812212,1.0,0.0006621979599196324,0.0008177490368739739,1,1,100.0,100.0,26.0
1763399519.8414888,25.225117921829224,1.0,0.7,51.652415387399095,1.0,0.0007861264231621237,0.000817749036873974,1,1,100.0,120.0,31.0
1763399524.972966,30.356595039367676,1.0,1.1,54.43010422237017,1.0,0.0006742387963010655,0.0008177490368739739,1,1,100.0,120.0,36.0
1763399530.117358,35.50098705291748,1.0,1.1,53.688252125084546,1.0,0.0006069070681572297,0.0006584242661896946,1,1,100.0,120.0,40.0
1763399534.748729,40.13235807418823,1.0,1.0,56.200536446843394,1.0,0.0009390891653961549,0.0009542953750931308,1,1,100.0,120.0,47.0
1763399539.884033,45.267662048339844,1.0,1.2,55.03407950960056,1.0,0.0009390891653961549,0.0009542953750931308,1,1,100.0,120.0,53.0
1763399545.013319,50.39694809913635,1.0,1.3,53.41190505280617,1.0,0.0008561834352011151,0.0007807010939022312,1,1,100.0,120.0,57.0
1763399549.6453052,55.02893424034119,1.0,0.7,53.08420216685287,1.0,0.0007596869631609054,0.000698997504871341,1,1,100.0,120.0,60.0
1763399554.783436,60.167065143585205,1.0,0.9,52.93324029437773,1.0,0.0007596869631609054,0.0007845885963876715,1,1,100.0,120.0,68.0
1763399559.914631,65.298259973526,1.0,1.2,52.42031112695105,1.0,0.0006521717623501449,0.0007845885963876715,1,1,100.0,120.0,71.0
1763399565.052935,70.43656396865845,1.0,1.0,52.219858177419226,1.0,0.0007955621238407347,0.0008403684583459805,1,1,100.0,120.0,79.0
1763399569.6986759,75.08230495452881,1.0,1.5,52.91885712807037,1.0,0.0005869911414202655,0.0007541086852207218,1,1,100.0,120.0,86.0
1763399574.835561,80.21919012069702,1.0,1.5,51.81301013695989,1.0,0.0007075982406109594,0.0007541086852207218,1,1,100.0,120.0,95.0
1763399579.966114,85.34974312782288,1.0,1.5,52.68985911774793,1.0,0.0007075982406109594,0.0005919501809420926,1,1,100.0,100.0,102.0
1763399585.106775,90.49040412902832,1.0,1.5,52.73139335527346,1.0,0.0006003892449557255,0.0006942272635203547,1,1,100.0,100.0,107.0
1763399589.7430122,95.12664127349854,1.0,1.2,52.54271533346952,1.0,0.0005753297999245735,0.0007627231505850278,1,1,100.0,100.0,108.0
1763399594.870134,100.25376319885254,1.0,0.6,52.26859178963008,1.0,0.0007964217658268086,0.0008587137474809419,1,1,100.0,100.0,114.0
1763399600.006967,105.39059615135193,1.0,0.9,51.777727669585985,1.0,0.0007964217658268088,0.0008587137474809419,1,1,97.0,100.0,121.0
1763399604.641073,110.02470207214355,1.0,1.1,51.62110913023036,1.0,0.0007963461836197525,0.0007312264218093851,1,1,97.0,100.0,123.0
1763399609.7753458,115.15897488594055,1.0,0.7,51.0418359923264,1.0,0.000620615807658562,0.0007312264218093851,1,1,97.0,100.0,127.0
1763399614.907242,120.29087114334106,1.0,0.7,51.41482763378952,1.0,0.0007273239803109427,0.0007312264218093851,1,1,97.0,100.0,131.0
1763399620.03792,125.42154908180237,1.0,0.8,51.29870303029666,1.0,0.0007356629226837771,0.0005422499999999997,1,1,97.0,100.0,133.0
1763399624.66899,130.05261898040771,1.0,0.8,51.17627255577072,1.0,0.0008667018358303421,0.0010039102388483478,1,1,97.0,100.0,135.0
1763399629.803149,135.18677806854248,1.0,0.5,50.85608755414652,1.0,0.0007040833644797612,0.0008585579794608687,1,1,97.0,100.0,139.0
