timestamp,elapsed,locust_users,locust_requests_per_second,locust_response_time_avg,locust_failure_rate,cpu_usage_task1,cpu_usage_task2,task1_replicas,task2_replicas,throughput_task1-deployment,response_time_task1-svc,locust_response_time_p95,locust_response_time_p99,locust_total_requests,throughput_task2-deployment,response_time_task2-svc
1763312158.146139,7.152557373046875e-07,5.0,2.5,92.80296090679865,0.0,0.03660003994996866,0.02722481689023896,1,1,0.23332555581480613,0.09209999999999999,230.0,230.0,15.0,3.7208077777777784,0.14222149132770556
1763312163.293337,5.147198915481567,5.0,3.142857142857143,102.3442034875708,0.0,0.032047754767526256,0.022733252448422104,1,1,0.23332555581480613,0.09209999999999999,330.0,440.0,35.0,4.117421111111112,0.14302821240151353
1763312168.446301,10.30016279220581,5.0,3.8,100.45361779790757,0.0,0.025250945271824612,0.018236450030579814,1,1,0.23332555581480613,0.09209999999999999,330.0,580.0,58.0,4.475423333333333,0.14807955967977676
1763312173.588601,15.442462921142578,5.0,4.9,100.35636177763524,0.0,0.2015361836700337,0.23381923679380082,1,1,0.23332555581480613,0.09209999999999999,250.0,680.0,82.0,4.633333333333333,0.15024011688120636
1763312178.221111,20.0749728679657,5.0,4.6,103.48379944323325,0.0,0.162686,0.19224503333333332,1,1,0.23332555581480613,0.09209999999999999,300.0,580.0,102.0,4.633333333333333,0.15752317518248177
1763312183.375529,25.229390859603882,5.0,3.9,107.2524827885757,0.0,0.2948591939624329,0.29413980285812674,1,1,4.1,0.09905982905982906,330.0,580.0,121.0,4.633333333333333,0.15752317518248177
1763312188.5064828,30.360344648361206,5.0,4.1,108.09612875164021,0.0,0.3321997973613596,0.257314125,1,1,4.1,0.09905982905982906,360.0,580.0,144.0,4.333333333333333,0.15781703296703298
1763312193.649291,35.50315284729004,5.0,4.5,130.3811510847827,0.0,0.3694244136404294,0.454218414621188,1,1,4.1,0.09905982905982906,440.0,1100.0,171.0,4.333333333333333,0.15781703296703298
1763312198.2755442,40.1294059753418,5.0,5.0,126.85051683990304,0.0,0.3540706186493739,0.454218414621188,1,1,4.1,0.09905982905982906,430.0,1100.0,198.0,4.333333333333333,0.14333653136531369
1763312203.4314299,45.28529167175293,5.0,5.3,121.13727421944475,0.0,0.4235760791624838,0.4306702062361895,1,1,4.1,0.11354527828599972,410.0,680.0,222.0,4.333333333333333,0.14333653136531369
1763312208.566984,50.42084574699402,5.0,4.9,122.53427351110024,0.0,0.35552152244371144,0.4337927843537995,1,1,4.1,0.1148099536214443,410.0,680.0,241.0,4.333333333333333,0.14333653136531369
1763312213.203377,55.057238817214966,5.0,4.4,124.7914509630685,0.0,0.32675787020829167,0.416984161891269,1,1,4.7666666666666675,0.13830671391590346,420.0,680.0,266.0,4.333333333333333,0.14333653136531369
1763312218.327138,60.180999755859375,5.0,4.6,127.87662717296324,0.0,0.29370309992322585,0.416984161891269,1,1,4.766666666666667,0.13829813047935824,440.0,850.0,287.0,4.933333333333334,0.1475685314685315
1763312223.465232,65.31909370422363,5.0,4.3,130.39847005571897,0.0,0.4404267596302489,0.3545686897237394,1,1,4.766666666666667,0.1410411347517724,430.0,680.0,302.0,4.933333333333334,0.1475685314685315
1763312228.599776,70.45363783836365,5.0,4.1,131.85869507913105,0.0,0.4404267596302489,0.318385597687918,1,1,4.766666666666667,0.1410411347517724,430.0,680.0,327.0,4.933333333333334,0.14641258389261746
1763312233.22805,75.08191180229187,5.0,4.4,127.9230287501877,0.0,0.43530330404932366,0.41259281987510477,1,1,4.766666666666667,0.139197282608695,430.0,680.0,355.0,4.933333333333334,0.14641258389261746
1763312238.354954,80.20881581306458,5.0,4.7,130.87840591113954,0.0,0.4353033040493236,0.3409197166069674,1,1,4.766666666666667,0.139197282608695,440.0,760.0,376.0,4.933333333333334,0.14641258389261746
1763312243.497767,85.35162878036499,5.0,4.5,133.37252615535806,0.0,0.48220502248002417,0.30560177122565846,1,1,4.666822227407581,0.13605286236828296,440.0,760.0,406.0,4.933333333333334,0.14641258389261746
1763312248.2291489,90.08301067352295,5.0,5.0,137.02845013870152,0.0,0.48220502248002417,0.28969525593676,1,1,4.66682222740758,0.13605286236828296,460.0,830.0,428.0,5.066666666666666,0.12662377850162865
1763312253.359756,95.21361780166626,5.0,5.8,134.00530088192522,0.0,0.35154617881781175,0.44037279865649953,1,1,4.66682222740758,0.13605286236828296,440.0,830.0,456.0,5.066666666666666,0.12662377850162865
1763312258.495095,100.348956823349,5.0,4.9,133.54366232682477,0.0,0.3893775043242842,0.38723717027451393,1,1,4.666822227407581,0.13605286236828296,440.0,830.0,472.0,5.066666666666666,0.12591473509933776
1763312263.627397,105.48125886917114,5.0,4.4,131.2058143665779,0.0,0.45846900683450115,0.45327879056420645,1,1,4.666822227407581,0.13365113585624241,440.0,830.0,499.0,5.066666666666666,0.12591473509933773
1763312268.2663329,110.12019467353821,5.0,4.7,131.10388635892335,0.0,0.45846900683450115,0.43353488441107524,1,1,4.666822227407581,0.13365113585624241,440.0,760.0,524.0,5.066666666666666,0.12591473509933773
1763312273.395193,115.24905490875244,5.0,5.4,129.99712773515577,0.0,0.3913610994681166,0.4409122901189506,1,1,5.0,0.12907923588039863,440.0,760.0,560.0,5.066666666666666,0.12591473509933773
1763312278.520322,120.37418389320374,5.0,6.1,132.15032674774716,0.0,0.3504976329782492,0.4409122901189506,1,1,5.0,0.12907923588039863,440.0,760.0,590.0,4.366666666666666,0.141896282527881
