timestamp,elapsed,locust_users,locust_requests_per_second,locust_response_time_avg,locust_failure_rate,throughput,response_time_avg,throughput_task1,response_time_task1,cpu_usage_task1,throughput_task2,response_time_task2,cpu_usage_task2,task1_replicas,task2_replicas
1763293230.468065,0.0,1.0,0.0,169.97265295746425,0.0,0.0,,0.0,,0.007735326808318257,0.5148344444444444,83.52550692724104,0.03504150025281837,1,1
1763293235.63045,5.162384986877441,1.0,0.6666666666666666,132.81001383438706,0.0,0.0,,0.0,,0.009226919450723318,0.5806272222222223,83.66716491075806,0.03990498404166446,1,1
1763293240.7837949,10.315729856491089,1.0,0.9,101.3330982199737,0.0,0.0,,0.0,,0.010879209425858943,0.6398777777777778,83.76766559690059,0.045293485149668467,1,1
1763293245.934626,15.466561079025269,1.0,1.1,90.73614320368506,0.0,0.0,,0.0,,0.008531099999999991,0.7054277777777778,83.85764464825837,0.050689321828998025,1,1
1763293250.5646532,20.096588134765625,1.0,0.7,79.69459519898962,0.0,0.0,,0.0,,0.030475392500527238,1.59564,92.54560223923103,0.09485468014593254,1,1
1763293255.944108,25.476042985916138,1.0,0.7,75.04345109159856,0.0,0.7,0.07836190476189811,0.7,78.36190476189812,0.0339885382476996,1.6333333333333333,95.7027653298611,0.09485468014593254,1,1
1763293260.583539,30.115473985671997,1.0,0.7,68.54251281429941,0.0,0.7,0.07836190476189811,0.7,78.36190476189812,0.03440140647719579,1.8333333333333335,116.54413858333335,0.08868266216051142,1,1
1763293265.7264352,35.25837016105652,1.0,0.6,78.88473189280678,0.0,1.2146044444444444,0.07386110141500189,1.2147961111111112,73.85972531812382,0.031202533561430976,1.8333333333333335,127.88425948333334,0.08868266216051143,1,1
1763293270.876724,40.40865898132324,1.0,0.6,75.50105353418205,0.0,1.280422777777778,0.0734669988115473,1.2805761111111111,73.46584172199623,0.04696365590454466,1.8333333333333335,131.913,0.11363111227327838,1,1
1763293275.515198,45.04713296890259,1.0,0.9,72.8041329421103,0.0,1.3396861111111111,0.07314731062833914,1.3398394444444444,73.14632549291659,0.05833025990099012,1.8333333333333335,131.913,0.11363111227327836,1,1
1763293280.644779,50.176713943481445,1.0,0.7,75.03906723683362,0.0,1.405236111111111,0.0728270082170001,1.4053894444444444,72.82611810756374,0.06461903930512213,1.8000000000000003,116.475,0.11363111227327836,1,1
1763293285.796866,55.32880091667175,1.0,1.0,72.36935541375863,0.0,1.6,0.06736228198348954,1.6,67.36202135218322,0.06461903930512213,1.5666666666666667,98.24299999999997,0.09358121815463694,1,1
1763293290.478039,60.009974002838135,1.0,0.8,75.34990758973767,0.0,1.6,0.06712500000000304,1.6,67.12500000000304,0.06364288942452546,1.5666666666666667,98.24299999999997,0.08166049138101841,1,1
1763293295.625706,65.15764093399048,1.0,1.1,75.0705120390502,0.0,1.8,0.0690062500000029,1.8,69.00625000000291,0.06364288942452546,1.5666666666666667,98.24299999999995,0.08166049138101841,1,1
