Metric,Mean,Std Dev,Min,Max,Unit
Users,1.0000,0.0000,1.0000,1.0000,users
Client RPS,0.8644,0.2825,0.0000,1.5000,req/s
Client Response Time,80.6973,14.6539,68.5425,169.9727,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
System Throughput,1.5640,0.5674,0.0000,2.2667,req/s
System Response Time,0.0823,0.0152,0.0591,0.1101,ms
Task1 Throughput,1.5640,0.5674,0.0000,2.2667,req/s
Task1 Response Time,82.2936,15.2238,59.0805,110.1135,ms
Task1 CPU Utilization,0.0636,0.0233,0.0077,0.1073,cores
Task1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Task2 Throughput,1.7007,0.3902,0.5148,2.2000,req/s
Task2 Response Time,112.1004,25.5810,83.5255,183.0000,ms
Task2 CPU Utilization,0.0897,0.0177,0.0350,0.1181,cores
Task2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
