Metric,Mean,Std Dev,Min,Max,Unit
Users,1.0000,0.0000,1.0000,1.0000,users
Client RPS,0.7356,0.2045,0.3000,1.2000,req/s
Client Response Time,188.8748,24.8226,114.2480,208.9294,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
System Throughput,1.2966,0.4804,0.0000,1.8000,req/s
System Response Time,0.2004,0.0319,0.1334,0.2552,ms
Task1 Throughput,1.2966,0.4804,0.0000,1.8000,req/s
Task1 Response Time,200.4028,31.9436,133.4375,255.2262,ms
Task1 CPU Utilization,0.0720,0.0171,0.0309,0.0973,cores
Task1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Task2 Throughput,1.4125,0.3149,0.4072,1.7667,req/s
Task2 Response Time,98.1753,21.5674,58.5605,126.3393,ms
Task2 CPU Utilization,0.0687,0.0211,0.0146,0.1081,cores
Task2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
