Metric,Mean,Std Dev,Min,Max,Unit
Users,5.0000,0.0000,5.0000,5.0000,users
Client RPS,4.2565,0.7643,2.5000,5.3000,req/s
Client Response Time,137.1887,7.0082,121.8322,153.6602,ms
Client Failure Rate,0.0000,0.0000,0.0000,0.0000,%
Tier1 Throughput,3.4611,1.6901,0.0000,4.9002,req/s
Tier1 Response Time,0.1387,0.0136,0.1275,0.1583,ms
Tier1 CPU Utilization,0.4245,0.0715,0.2702,0.4825,cores
Tier1 Replicas,1.0000,0.0000,1.0000,1.0000,pods
Tier2 Throughput,4.5872,0.4477,3.4333,4.9667,req/s
Tier2 Response Time,0.1663,0.0309,0.1285,0.2017,ms
Tier2 CPU Utilization,0.3925,0.1251,0.1463,0.5093,cores
Tier2 Replicas,1.0000,0.0000,1.0000,1.0000,pods
